start	end	text
169360	171520	אני אמר לכם, אם תלמדו על שצביחו
171520	174560	ואתם גם בשורה שלוש, גם בשורה ארבע
174560	175440	מה עשיתם?
175440	176000	לא על אמנתי
176000	176880	לא על אמנתי
177760	179760	זה אומר משהו על הפסוק שני
179760	181920	איזה שוב, סותר אותו, מפריך אותו?
183040	183840	לא
183840	185200	יכול להיות
185200	186240	פוקס פוקסי
186240	187840	לא על אמנתי ועצל אחרי
187840	189200	קשה לי להם
189200	190400	ואה, זה בריאות
190400	193760	ואה, כבר אמרת, אני זורא ובגבה, מה זה זה לא הצלחת לתגילי?
195120	197200	אבל זה אומר משהו על המשפט, תראי לי שוב פעם
197200	200160	אני אמר לכם, אני נדבר, את רוצים לשאול לזה קצת אחרת
200160	203280	אבל אני שאולי רוצה לחפור שאומרי תפזר, קצת הרבה עוזר הרבה
203280	208400	אני מתייחס מראש רק לסיטואציה שבאה אתם לא מדהים
208400	209680	נכון?
209680	211200	אם למדתם אז
211200	214320	ואז אם למדתם, וזה טרור
214320	217680	מאוד דבר, במשלחתם לא, לא הצלחתם לא יהיה
218240	220400	אבל אם מראש לא למדתם
220400	223360	כל הפסוק שלי בכלל נוראים מהפרק
223360	224960	לא מתייחס אליכם בכלל
224960	227360	אמרנו שפסוק הוא נכון או לא נכון
227360	228800	הפסוק שלי
228800	232560	כן, הפסוק שלי הוא לא פוס, נכון?
232560	234240	לא רק הוא שאני משקר
234240	235680	אז הוא חייב להיות קוראו
235680	237760	אין סחק, תפתחה לפנימה
237760	239920	שהם יכול להיות ממציאות
239920	242720	יש פר בין השובה הראשונה
242720	244040	שבאה עד שם נפרע
244040	246160	לבם שתי השורות שבכלל ראשון הוא צ'ק
248000	249440	ואנחנו
249440	251680	בחינה לוגית
251680	253200	זה לא כל כך מהותי לנו
253200	255120	הפסוק הוא בכל מקרה טרור
255120	257280	אבל במצווחות הוא מציאות
257280	261600	כל מה שמפה הרבה, במצוות יש הרבה פאר
261600	264400	שאני אעבור לנושא הדבר, אמרתי כאן
264400	266200	אולי כאילו ספר לפני, אמרתי על הצהר ונדבר
266200	267760	לצד איך מוכים תענות
267760	271080	האחר נראה שבפועל יש משמעות להשדל ונשורות
271080	274040	למעשה בה שגורמת לכסוק הגרנילה
274040	275400	לראות מחוד
276360	277400	כשניהם תבואו
277400	278400	וזה כאילו
279200	280400	מה שנו רוצים
280400	281400	ללמוד ולהצליח
281400	282680	אוקיי, הראשון הוא פולס
282680	284080	לבחר לא מדהים
284080	285880	אבל חיית במחאות
285880	287120	ההיגיון
287120	288400	שם מאחורי הכבלה
288400	291440	אז זו אפשר להרבינו את המטיפה מתקשיב
291440	293400	אבל אני חוזר אופע משורע האחרונה
293400	295400	אתם קום שלא דבר, אז נמשיך
295400	297480	אז קודם כול אילו לתקיים
297480	298680	עם זה אנחנו עובדים
298680	300040	ואם זה נכון, מרגיש לי
